title,author,length
1. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
2. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
4. Worthy,By: Jada Pinkett Smith,Length: 14 hrs and 57 mins
5. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
6. The Exchange,By: John Grisham,Length: 9 hrs and 1 min
7. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
8. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
9. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 27 mins
10. Slayers: A Buffyverse Story,"By: Christopher Golden, Amber Benson",Length: 8 hrs and 2 mins
11. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
12. Be Useful,By: Arnold Schwarzenegger,Length: 6 hrs and 19 mins
13. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
14. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
15. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
16. Prequel,By: Rachel Maddow,Length: 13 hrs and 9 mins
"17. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
18. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
19. Holly,By: Stephen King,Length: 15 hrs and 24 mins
20. Forgiving What You Can't Forget,By: Lysa TerKeurst,Length: 8 hrs and 20 mins
21. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
22. The 4-Hour Body,By: Timothy Ferriss,Length: 3 hrs and 51 mins
23. Hidden Potential,By: Adam Grant,Length: 7 hrs and 21 mins
24. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
25. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
26. If You Would Have Told Me,By: John Stamos,Length: 8 hrs and 44 mins
27. Going Infinite,By: Michael Lewis,Length: 8 hrs and 56 mins
28. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
29. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
30. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
31. The Secret,"By: Lee Child, Andrew Child",Length: 9 hrs and 14 mins
32. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
