title,author,length
1. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
2. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
3. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
"4. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
5. Widow Lake,By: Rita Herron,Length: 8 hrs and 42 mins
6. My Name Is Barbra,By: Barbra Streisand,Length: 48 hrs and 14 mins
7. The Ballad of Songbirds and Snakes,By: Suzanne Collins,Length: 16 hrs and 16 mins
8. Defiance of the Fall 11,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 47 mins
9. Tired of Winning,By: Jonathan Karl,Length: 8 hrs and 32 mins
10. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
11. Resurrection Walk,By: Michael Connelly,Length: 10 hrs and 30 mins
12. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
13. All the Light We Cannot See,By: Anthony Doerr,Length: 16 hrs and 2 mins
14. Murtagh,By: Christopher Paolini,Length: 24 hrs and 32 mins
15. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
16. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
"17. The Bad Beginning, A Multi-Voice Recording",By: Lemony Snicket,Length: 2 hrs and 29 mins
18. Prequel,By: Rachel Maddow,Length: 13 hrs and 9 mins
19. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
20. The Edge,By: David Baldacci,Length: 11 hrs and 45 mins
21. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
22. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
23. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
24. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
25. The Narrow Road Between Desires,By: Patrick Rothfuss,Length: 4 hrs and 15 mins
26. Hidden Potential,By: Adam Grant,Length: 7 hrs and 21 mins
27. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 27 mins
28. The Secret,"By: Lee Child, Andrew Child",Length: 9 hrs and 14 mins
29. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
30. The Courage to Be Disliked,"By: Ichiro Kishimi, Fumitake Koga",Length: 6 hrs and 29 mins
31. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
32. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
33. Be Useful,By: Arnold Schwarzenegger,Length: 6 hrs and 19 mins
34. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
35. System Collapse,By: Martha Wells,Length: 6 hrs and 36 mins
36. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
37. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
"38. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
39. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
40. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
41. The Things We Cannot Say,By: Kelly Rimmer,Length: 13 hrs and 47 mins
42. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
43. The Exchange,By: John Grisham,Length: 9 hrs and 1 min
44. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
45. Dirty Thirty,By: Janet Evanovich,Length: 8 hrs and 2 mins
46. Holly,By: Stephen King,Length: 15 hrs and 24 mins
47. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 48 mins
48. How to Know a Person,By: David Brooks,Length: 7 hrs and 27 mins
49. Ghosts of Honolulu,By: Mark Harmon,Length: 7 hrs and 55 mins
50. My Effin' Life,By: Geddy Lee,Length: 16 hrs and 20 mins
51. Worthy,By: Jada Pinkett Smith,Length: 14 hrs and 57 mins
52. The Titan of Baleros,By: pirateaba,Length: 40 hrs and 55 mins
53. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
54. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
55. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
56. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
57. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
58. Too Late,By: Colleen Hoover,Length: 10 hrs and 19 mins
59. Defiant,By: Brandon Sanderson,Length: 13 hrs and 49 mins
60. He Who Fights with Monsters 10,"By: Shirtaloon, Travis Deverell",Length: 25 hrs and 18 mins
61. Counting the Cost,"By: Jill Duggar, Derick Dillard - contributor, Craig Borlase - contributor",Length: 7 hrs and 7 mins
62. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
"63. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
64. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
65. Forgiving What You Can't Forget,By: Lysa TerKeurst,Length: 8 hrs and 20 mins
"66. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
67. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
68. The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins
69. The Creative Act,By: Rick Rubin,Length: 5 hrs and 45 mins
"70. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
71. Slayers: A Buffyverse Story,"By: Christopher Golden, Amber Benson",Length: 8 hrs and 2 mins
"72. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
73. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
74. Leslie F*cking Jones,"By: Leslie Jones, Chris Rock - foreword",Length: 16 hrs and 32 mins
75. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
76. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
"77. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
"78. Read People like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",By: Patrick King,Length: 4 hrs and 40 mins
79. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
80. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
"81. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
82. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
83. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
84. 8 Rules of Love,By: Jay Shetty,Length: 10 hrs and 21 mins
85. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
86. Starter Villain,By: John Scalzi,Length: 8 hrs and 5 mins
