title,author,length
The Movie of Me to the Movie of We,"By: Raghu Markus, Duncan Trussell",Length: 10 hrs and 36 mins
The House of Love and Death,By: Andrew Klavan,Length: 10 hrs and 25 mins
Great Awakening,"By: Alex Jones, Kent Heckenlively - contributor",Length: 12 hrs and 48 mins
The Warrior's Rune,By: Jared Ellis,Length: 6 hrs and 38 mins
Twisted Obsession,By: S. Massery,Length: 9 hrs and 23 mins
The Proof of the Pudding,By: Rhys Bowen,Length: Not Yet Known
Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 30 mins
Crystal World,By: B.V. Larson,Length: 14 hrs and 26 mins
Sweet Sin,By: Helen Hardt,Length: 6 hrs and 19 mins
Mark of the Fool 4,By: J.M. Clarke,Length: 19 hrs and 45 mins
The Lone Wolf's Rejected Mate,By: Cate C. Wells,Length: 9 hrs and 16 mins
Exploring Home,By: A. American,Length: 11 hrs and 59 mins
The Wuhan Cover-Up,By: Robert F. Kennedy Jr.,Length: 15 hrs and 50 mins
The Face in the Water,By: Gregory Ashe,Length: 9 hrs and 12 mins
"Tales from the Gas Station, Volume Four",By: Jack Townsend,Length: 14 hrs and 41 mins
The Titan of Baleros,By: pirateaba,Length: 40 hrs and 55 mins
Only in Death,By: Dan Abnett,Length: 11 hrs and 28 mins
A Fire in the Flesh,By: Jennifer L. Armentrout,Length: 24 hrs and 3 mins
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
King Arthur and Her Knights: The Complete Series: Books 1-7,By: K. M. Shea,Length: 26 hrs and 52 mins
